ID,Feed,Sentiment
424,اللهم لا شماته ليش ياربي يحرجوا انفسهم,Negative
425,اللهم لم شمل جميع المسلمين,Positive
426,اللهم ما اصبح بي من نعمه او باحد من خلقك فمنك وحدك لا شريك فلك الحمد لك الشكر,Positive
427,اللهم ما اعنا على التغير,Positive
428,اللهم معنا علي طاعتك ورضاك وقوي عذامئنا,Positive
429,اللهم نسالك السلامه من مثل هذه الخيبه,Positive
430,اللهم نقي نفوسنا اجعلنا لك من المخلصين سرا جهرا,Positive
431,"اللهم هون برد الشتاء على عبادك المستضعفين في كل مكان ،اللهم انـزل دفئك ورحمتـك على كل فقيـر لا ماوى له",Negative
432,اللهم وفقنا لما تحب ترضى يا رب,Positive
433,اللهم يا مجيب من دعاك اعنا على تقواك بتقواك وارزقنا حسن طاعتك وتمام رضاك  واغفرلنا ولوالدينا ولكل من له حق علينا,Positive
434,اللهم يا محول الاحوال حول حالى ان احسن حال,Positive
435,اللي غنى عدوله محاوله استخفاف دم من البرنامج,Negative
436,اللي لازم يصير اضراب جميع موظفي الدوائر الحكوميه الخاصه لمده اسبوع شوف بعدها,Negative
437,اللي لفت انتباهي الدبه اللي جنبها,Negative
438,الماء اساس الحياه,Positive
439,المال الاسود جريمه بحق الوطن والمستقبل,Negative
440,المراه تهان وتعامل كاداه جنسيه تحت مسميات عديده كالمسيار والمسفار والمصياف الخ وكلو بتمنو,Negative
441,المراه كلها عوره حتى صوتها عوره,Negative
442,المسلسلات خربت بيوت العالم,Negative
443,المسلم الفطن النقي يتصرف بما يرضي الله في السر العلن نسال الله عز وجل ان نتبع كل ما يرضيه عنا,Positive
444,المشاركين بينو للناس انه اللى قايمين على البرنامج حمير,Negative
445,المشكله في ناس تقنع حالها انه جورج وسوف له علاقه بالاغاني,Negative
446,المشكله ناس بتسمع حالها بالحمام هيه وبتغني,Negative
447,المعنى الحقيقي لعاهاتك يا وطن,Negative
448,المغرب بريء منك على الاقل اذا كنت لهجتنا صعبه فتكلم باللغه العربيه,Negative
449,الملح احسن علاج لالتهاب الحلق ومفعوله اسرع من الادويه,Positive
450,المنتخب الايطالي عقيم هجوميا بعد ماكان منتخب يخشى هجومه كل المنتخبات,Negative
451,المهم الدعاء في السجود حتى تغسل عينيك الدموع,Positive
452,المهم هو الصادق معي الناصح لي,Positive
453,المواساه والمحبه بكل الامور رمز الاخوه,Positive
454,الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه ا?هم من هيك انه المفاعل بحاجه لتبريد دائم للاسف وين المي يلي عنا؟؟؟؟,Negative
455,المومين الى بعضهم كالبناء الزى يشد بعضه البعض,Positive
456,النظافه من الايمان,Positive
457,النقاش العقلاني ينتهي يانك تقنع الشخص يا انك تقتنع اذا ما انتهى النقاش كذا واللي قدامك مصدي الحل الثالث تتفل بوجهه و بكذا يكون انتهى النقاش,Negative
458,النيه دايما بتكون موجوده وربنا المعين,Positive
459,الواحد عايش وسط قرف,Negative
460,الوحيد الذي لايتركني ولو لحظه,Negative
461,الوفاء اصبح شئ نادر يكاد يكون معدوم,Positive
462,الوفاء في غير قلبك ما لقيت,Positive
463,الى ابن بشار الاسد كس اخت ابوك,Negative
464,الى اعتصام مفتوح ميدان تحرير للتخلص من قوى الفساد الافساد,Negative
465,الى جهنم وبئس المصير,Negative
466,الى يقارن بينه وبين مرسى يبقى متخلف,Negative
467,الي استحو ماتو,Negative
468,الي انا شايفو انو المفاعل راح ينعمل في الاردن راح يخدم دول تانيه يعني مش عشان سواد عيونا,Negative
469,"اليك يا ربي قلبا لم يستعن بسواك، ياوي اليك لترضى ويهتدي بهداك",Positive
470,اﻻسلام ليس فيه رهبانيه انما هو دين علم وعمل وبحث وتطوير... وعندما طبقنا هذا المبدا سدنا العالم,Positive
471,اما الغبي اللي يقلد جورج وسوف,Negative
472,اما في الدين فتصير اخوه في الله وهي ارقى العلاقات الانسانيه بصحيح الحديث رب اخ لم تلده امك,Positive
473,اما وهابيتك فحدث ولا حرج الناس يقادون الى المساجد غصبا ويجلدون كالابقار ان هم ابوا,Negative
474,امشي عدل يحتار عدوك فيك,Positive
475,املا رئتيك بعبق السماء مع ولاده صباح جديد تهتز له الحياه تحتفل ايقظ عقلك بالنور ابعث همتك حيه متوثبه لتطوي نهارك في فرح,Positive
476,اموت بصوتها,Negative
477,اموت فيج رويده,Negative
478,اميره ممكن اضافه لو سمحتي,Positive
479,امين يا رب انت شاب زي الفل ما شاء الله عليك,Positive
480,ان  المعلم الذي يسعى للتطوير والاستزاده هو الاقدر على غرس الالتزام والطموح في طلابه,Positive
481,ان الجميل اذا اخفيته ظهرا,Positive
482,ان الدين عند الله الاسلام هذا هو الدين الذي يجب ان يعتنقه كل انسان علي وجه الارض وليس العرب فقط اللهم اهدي غير المسلمين الي دين الاسلام,Positive
483,ان الله على كل شيء قدير,Positive
484,ان الله لا يتخل عن عباده ابدا,Positive
485,ان الله لا يضيع اجر المحسنين,Positive
486,ان الله هو الرزاق دو القوه المتين,Positive
487,ان النجاح يحتاج الي قلبا ثابت عقلا راشد طموحا واعد تحدي كاسر,Positive
488,ان شاء الله ربنا يعينا على فعل الطاعات,Positive
489,ان شاء الله هنكمل مشوار النجاح,Positive
490,ان شاء الله وربنا يعيننا,Positive
491,ان شاء الله يتقبل الله صلاتنا يزيد في صلاتنا الخشوع,Positive
492,ان من صفات الاسلام الامانه,Positive
493,انا ابو عدوله هذا لو قدامي صدق اني راح العن ابو من جابه,Negative
494,انا احب هذا الكاتب,Positive
495,انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني,Positive
496,انا اردني بقول الشعب بيستاهل غلا اكثر من هيك,Negative
497,انا اشوفه انه عادي ولا فيه اي معنى وايش مليوني مشاهد والله انه ما يستحق الى هذا الحد من المشاهده وبعدين هاض شي مقزز,Negative
498,انا اقدر الاخلاص الوفاء بشكل كبير,Positive
499,انا الوحيده الي احس طعم الببسي كنه حديد مصدي,Negative
500,انا انجنيت,Negative
501,انا انصح كل انسان ان لايكذب لان الكذب مداه قصير,Positive
502,انا بحب كل الناس بتمنالهم الخير,Positive
503,انا بدات اتحرك شاركت بفكره ستغير الكثير من واقعن,Positive
504,انا بكرهك,Negative
505,"انا توجيهي سعودي و بدرس بجامعه من احسن جامعات الاردن ، و الشعب قاعد يعيد توجيهي و يرسب من ورى الوزير ",Negative
506,انا حاسه انه قلبى مليان وعامر بنور الله,Positive
507,انا خلينى ساكته احسن,Negative
508,انا دايما فرحان مش سائل بالدنيا الحمد لله,Positive
509,انا دمرت انا دمرت مستقبلي ضاع وما معي اكل خبز شو هالحياه شو هالقرف مش حياه الحياه كلها ظلم ما في شغل الاردن,Negative
510,انا شوفت وقاحه بس زاي وقاحه الاخوان ما شوفت,Negative
511,انا ضد النووي كالاردن البحث عن مصادر للطاقه النظيفه خصوصا اننا نفتقر للماء و الاجدى بنا ايضا ان نبحث عن سبل لحل مشكله المياه بالمبالغ التي ستصرف على المفاعلات النوويه,Negative
512,انا عرف شيء والله ببكي اكتر ما بضحك,Negative
513,انا علي ثقه اني استطيع فعل اي شئ لاني انا من صنع الله,Positive
514,انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله,Positive
515,انا فعلا قررت واخدت القرار ده وحاسه براحه وسعاده كبيره اوي بقربي من ربنا بجد الحمد لله,Positive
516,انا فعلا مؤمن بالفكره دي جدا وبحاول انفذها,Positive
517,انا كل يوم اقول غدا سوف اصلي لكن لا اقدر انا ادعوا الله دائما ان يهديني ارجو من من يملك حل مراسلتي,Positive
518,انا لا احلم ان اغير العالم ولكن احلم بان استطيع ان ارسم البسمه علي وجوه الاخرين,Positive
519,انا لاحظت اللبنانيين انهم ماعندهم روح الكوميديا نهائيا,Negative
520,انا لله انا اليه راجعون الله يستر هالبلد,Negative
521,انا لو مكان راغب اروح انتحرر,Negative
522,انا مِا اغيب الا اذا كرهّت اني ابقى راجع افعالك قبل كُل حاجه,Negative
523,انا متاكده انو هذولي مدفوعلهم علشان يجون يغنون لانو مافي ناس مهابيل لهالدرجه,Negative
524,انا متشائم رح اضل متشائم حتى ينزلوا البنزين,Negative
525,انا مش مسؤول عن الحراميه يتفنجرو بمصاري البلد انا اشحد,Negative
526,انا مع الاخ محمد سلامه بهالموضوع,Negative
527,انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان,Positive
528,انبسط يا عم افرح,Positive
529,انت ما تستحي تقارن القران بوحده ساقطه انعل ابوك لا ابو الملحد,Negative
530,انت ما شفت النسخه الاوروبيه والامريكيه والماليزيه من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقده النقص والتخلف,Negative
531,انت مو انت انت جوعان كل شوكولاته افرح,Positive
532,انت واحد حقير,Negative
533,انت واحد عنجد قليل ادب الله يموت الي امثالك,Negative
534,انت واحد ما بتستا هل الجزمه,Negative
535,انت يا دكتور خير اخ ربنا يزور عليك,Positive
536,انتخب مين يا عم هى ناقصه لبخه فى الكلام معتش الا الاهبل ده كمان يبقى رئيس جمهوريه,Negative
537,انتم يا قطريه شن عارفكم السياسه انتم لاعندكم جيش ولا استراتجيه ثابته انتم عملاء امريكا يا خونه,Negative
538,انته جميل جدا ربنا يثبتك واتمني ان كل المسلمين تكون اخلاقياتهم في حياتهم العاديه قدوه ودعوه لكل غير المسلمين,Positive
539,انته والمعك كلهم سافلين ووقحين,Negative
540,انتو كلاب ازى تسو المصحف بى كلابه زى ده,Negative
541,انتي عنجد بنت فاشله,Negative
542,اندهش لما عرف الحقيقه,Negative
543,انسان غريب,Negative
544,انشاء الله نكون راضين بقضاء الله لكننا نرجو من الله اللطف فيه,Positive
545,انشاء الله هنعمل حاجه تفتخرو فيها,Positive
546,انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالميه ثالثه وما رح اتخلص غير لما نتخزق,Negative
547,انما المؤمنون اخوه فاصلحو ذات البين,Positive
548,انما بعثت لاتم مكارم الاخلاق,Positive
549,اننا نعيش في زمن بلا رحمه,Negative
550,انني كومه من القلق والرجفه اكثر من كوني انسان,Negative
551,انه دين يسر وليس بدين عسر,Positive
552,انه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم ارزق بنات المسلمين زوجا طيبا محبا مثله,Positive
553,اني احبك في الله,Positive
554,اه لو لا القران لقلت ان انكر الاصوات لهذه الاصوات,Negative
555,اه يا ابو القمل,Negative
556,اه ياشويه عاهات,Negative
557,اهل العقول براحه ام نسيانك يابو نسيان صعب والله صعب,Negative
558,اهلا بك في دين الحق والسلام,Positive
559,اهلا بيك فى دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير,Positive
560,اهلا وسهلا بشخصك الكريم,Positive
561,اهلا وسهلا بك بيننا يا طارق,Positive
562,اهم اشي اكون مبسوط,Positive
563,اهم شي الواسطه والمظهر الخارجي,Negative
564,اهما ودهم يروحون النار لكن النار مارضت فيهم,Negative
565,اوسخ شي المناديل,Negative
566,اوغاد باعو البلد,Negative
567,اوقف القرار للحفاظ على الوطن,Negative
568,اول واحد ذكرنى بصاحب اسمه قرده,Negative
569,اي الله صحيح اهم شي الانسان كرامته,Positive
570,اي تفائل هاد يا زلمه روح تشائم احسلك,Negative
571,اي تقدم اي ازدهار مفاعل النوويه بعمل الامراض كثير اهم السرطان الله يبعده عنها انا معهم رفض المفاعل النوويه,Negative
572,اي والله سوبر,Negative
573,ايس شراع القرف,Negative
574,اين ذهبوا العلماء والمخترعين والمفكرين جرب في جرب,Negative
575,ايه الاحساس الراقى ,Positive
576,ايه الهبل دا,Negative
577,ايه راحه فيها المسكين ياحرام,Negative
578,ايها الصغار المتناكفون انكم مع كل منشور ضد بعضكم البعض تصغرون اكثر مما انتم صغار فلا يسلك هذا الطريق الا صغير ساذج يحب ان يعيش على القذارات,Negative
579,ايوه هيك بدنا ياكم يا شباب بترفعو الراس,Positive
580,باذن الله بديت ولو مؤخرا بنفسى الحمد لله,Positive
581,بارد ومصقع,Negative
582,بارك الله في دين الاسلم,Positive
583,بارك الله في كاتبها,Positive
584,بارك الله فيك انا نضال فدعولي بزوجه صالحه,Positive
585,بارك الله فيك نتمنى المزيد من النصائح,Positive
586,بارك الله لكما وبارك عليكما وجمع بينكما على خير,Positive
587,بالله تسكتوا خلينا بحالنا بدناش مشاكل ايه,Negative
588,بالله عليك فين الاناقه في الناس اللي بتغني دي,Negative
589,باللـــه عليكم الم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناه اخرى,Negative
590,بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم,Negative
591,"بالمناسبه انا مؤدب جدا ، لا احتسى الكحول ولا ابحث عن علاقات مشبوه",Positive
592,بتخافى حد ياخد مكانك مع انك مالكيش مكان اصلا ,Negative
593,بتقول كلام زي الفل,Positive
594,بتمنى لو ان تقوم بعثه للدعاه من مصر تزور جميع البلاد تعرفهم تشرح ما هو الدين الاسلامي تنشر بحق فى كل مكان,Positive
595,بجد ربنا يبارك فى كلماتك بتوصل والله,Positive
596,بجد موضوع رائع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن,Positive
597,بدعى على طول بان الله يرزقنى الخشوع,Positive
598,بدك الصراحه بدون زعل جهنم الزبانيه من الملائكه تنتظرك تموت لتشرب من فروج المومسات صديد اهل النار ان شاء الله يا اوباش سوريا,Negative
599,بدكو تخلونا نشحد,Negative
600,بدي اروح عمره الله ييسر,Positive
601,برامج سخيفه تهدف لهدم الامه,Negative
602,برك الله فيك وجعلها في مزان حسناتيك,Positive
603,برلمان المانيا يقر باغلبيه كبيره التخلي عن الطاقه النوويه حتى 2022 الاردن يطرح عطاءلانشاء محطه طاقه نوويه الله لا يطعمنا الحج والناس مروحه,Negative
604,برنامج ساقط,Negative
605,برنامج فاشل جدا,Negative
606,برنامج قديم,Negative
607,برنامج معوق ومشاركين معوقين:,Negative
608,بس اكيد وراها مصلحه,Negative
609,بس الحكام ماعندهم ذوق للاسف,Negative
610,بس الله لا يسامحكم تلقوها بصحتكم ان شاء الله,Negative
611,بس اللي قاهرني اللي ما ينطقون حرف الراء التغ من جدهم جايين يبون يغنون,Negative
612,بس مقزز,Negative
613,بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح,Negative
614,بسمه امل حلوه,Positive
615,بصفحات الفيزا على جواز السفر حاطين صور اثار الاردن عاساس هيك بس اشوفهم رح احن و ابطل اسافر,Negative
616,بصمات راقيه لاديب الدعوه محمد الغزالي,Positive
617,بطلت كتير وكل ما اترك والتزم مع ربنا برجع تاني وكل اما ارجع ارجع اكتر من الاول,Positive
618,بطني وجعتني من الضحك,Negative
619,بعد عقود مرض الكلب واستبشرنا نحن الشعب اخيرا مات الكلب واصبح ابن الكلب رئيسا بالاجماع ,Negative
620,بعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى,Positive
621,بعدك ما شفت اشي,Negative
622,بعدين الاردن تسبح على بحر من النفط الصخر الزيتي اشتغلو فيه بالاول بيكفينا 100 سنه,Negative
623,بعدين حتى الدول الي اعلنت انهاء المفاعلات النوويه زي اليابان تراجعت عن قراره,Negative
624,بعرف بس مو حلو,Negative
625,بعرف حكايات مليانه عاهات مثلكم مجانين يا صيدات جورج وسوف,Negative
626,بعض الاصدقاء يشبهون المطر في قدرتهم على تعديل المزاج هؤلاء من احتاجهم بقربي,Positive
627,بعن الله ابوك انت وعدوله يالسامج,Negative
628,بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون,Negative
629,بقرف زيك,Negative
630,بقطعكم شو حقودين,Negative
631,بكتب اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب عليه,Negative
632,بكره واحد منهم بينتحر لم يضحكو عليه,Negative
633,بلا هم بلا وجع راس خليك رايق دايما,Positive
634,بلد يديرها اغبياء حراميه,Negative
635,بنحاول فى كل مره نكون افضل,Positive
636,بنص المقطع سقاله موطبيعيه,Negative
637,بني البرنامج النووي الاردني على عده تصورات خاطئه بشكل خطير تتعلق بالتكنولوجيا,Negative
638,بوركت جهودك و سلمت اناملك,Positive
639,بياعين شرف,Negative
640,بيجيبو الشيوخ ليسهز فيهم,Negative
641,بيه الزناخه,Negative
642,تابعت هذا الجوال من بدايه صدوره وقبل اقترابه للعالم العربي فعلا يستحق كل هذه الاهميه,Negative
643,تاثير الغرب مبين على العرب المجانين,Negative
644,تافهين جدا,Negative
645,تايم لاين اردني واعي ومثقف لفت انتباه زين الاردن لتغيير محتوى تغريدتها  شكرا لاحترامكم الراي العام في الاردن,Positive
646,تبا لكم,Negative
647,تبارك الرحمن اللهم زد فينا وبارك لنا يارحم الرحمين,Positive
648,تبتنا ياربن علي دكرك وشكرك حسن الخشوع في صلاتك,Positive
649,تبون تقنعونا انكم تخافون على صحه المدخن وعلشان كذا رفعتوا السعر..بيشترونه ولو ب100 دينار  وبيدخنون ولو بعظم وورق شجر,Negative
650,تحطم ماتبقى من اطيافي,Negative
651,تحيه لاهل فلسطين الغاليه,Positive
652,تحيه محبه وسلام ,Positive
653,تخسا هما وكل واحد بشد على يدهم مشكلتو شعب سوري يدعون البراء وهم في قمه النذاله,Negative
654,تدرون يا جماعه الخير انها بتتعدب والله,Negative
655,تذكر من كذب يكتب عندا الله كاذب لا اله الا الله اما من يتحرى الصدق يكتب عندا الله صادقا,Positive
656,ترتيب ونظام منقطع النظير في احدى مدارس الاناث بقطاع غزه,Positive
657,تركنا كل شئ من اجل رضا الله اللهم ارضى عنا,Positive
658,ترى هاي فاهمه موضوع الوطنيه غلط ترى مش لحالك اردنيه والله اعلم اذا انك اردنيه اصلا شغل سوالف حصيده,Negative
659,تسلم انت وافكارك,Positive
660,تسلم صرمايتك,Negative
661,تضحك كانها مفجوعه من شيئ,Negative
662,تضرب منك لعدوله,Negative
663,تعليم الاطفال على الاغاني وعلى الرقص بدل من تعليم القران الكريم بدل من تعليم الدين الله لا يوفقكم,Negative
664,تغني وهي متقرفه,Negative
665,تفائلوا بالخير تجدوه اعملوا الصالحات,Positive
666,تفه عليك وع شكلك اول ما نشهرت طلقت زوجها خنزيره,Negative
667,تفو كس امك حماره,Negative
668,تقول داخله فيها ترله انحولت مع الاغنيه,Negative
669,تكالبت عليه الكلاب ولم تسمح له بالبروز بعد البرنامج,Negative
670,تليفيزيون المستقبل صار سيء للغايه ما ادري ليش,Negative
671,تم تنفيذ الحكم الي في الرد الاول وتم اعدام اول راس والباقي بالطريق,Negative
672,تماما اللهم لا تحرمنا الصدق في الكلام,Positive
673,تنظرون لا الشام يقتلون بدم بارد,Negative
674,توكلت عليك يا الله,Positive
675,تويتر صاير ممل,Negative
676,تؤلمني باسم الحب,Negative
677,تيس مابفهم,Negative
678,ثبتك الله يا استاذي ونصرك,Positive
679,ثقيلين دم كثير,Negative
680,ثكلتك امك,Negative
681,جابو المسخره لنفسهم الله لايردهم,Negative
682,جامعه العلوم والتكنولوجيا الاردنيه افضل من 92.7% من جامعات العالم و 98.2% من جامعات الوطن العربي طبقا لتصنيف ويب,Positive
683,جد اشي بخزي,Negative
684,جزاك الله خيرا ياستاذ مصطفى على ماتبثه في انفسنا ربنا يكثر من امثالك,Positive
685,جزاك الله كل خير بسمه امل رائعه وشيقه جد,Positive
686,جزاك الله كل خير دكتور عمرو ربنا يتقبل منا منكم سائر الاعمال,Positive
687,جزمتي الا اقولك اسفل جزمتي الثوره في سوريا ما اشعلها الا الوهابيين اللي هم السلفيين,Negative
688,جسمها حلو ترقص عاريه,Negative
689,جمال الصفحه من جمالكم رقي اخلاقكم انا متاكد ان صفحتنا ستعجبك فانضم الينا ادعو اصدقائك فنحن نسعد بك بهم,Positive
690,جمهور لا يياس الى اخر ثانيه,Positive
691,جميل جدا,Positive
692,جميله المعاني المجرده التي تنزوي عند التطبيق,Positive
693,جميله اوى اوى اوى يارب الكل يحس معنى الكلام ده,Positive
694,جهنم وباس المصير,Negative
695,جورج وسوف حلب مو طبيعي,Negative
696,حالات مرضيه نفسيه مستعصيه لا يستطيع شفائها لا العلم لا الفن,Negative
697,حاويه زباله بوجهك,Negative
698,حبيبي شرلبوني يموت شرلبونا انا مدريدي? لكن ماني مغير لعيونه,Negative
699,حتى بالستايل مقلده الله ياخذ عمره الغبي,Negative
700,حتى فى التخلف مش فالحين منيح,Negative
701,حتى نعرف نحل مشكله المجاري بعدين منعمل مفاعلات,Negative
702,حثاله شباب صايع,Negative
703,حثاله على حثاله والحثاله انظف منهم,Negative
704,حرام السخريه من الناس,Negative
705,حرام تحمل اسم عظيم زي هيك,Negative
706,حرام عليك كانو بقره بتولد,Negative
707,حرام عليك ماتشوفه شلون يصارخ كانه مشجع في ملعب,Negative
708,حرام والله حزنت عليه شو هالموقف الشنع,Negative
709,حرف الراء مصيبه ريس,Negative
710,حركه ارحمينا الله يشيلك اقول كيف اخوكي وابوكي راضيين عنك اف عندك ايزي,Negative
711,حزني كثير والله,Negative
712,حسبنا الله ايش صاير لشبابنا الحشيش والمخدرات غزتهم الله يهونها ويحفظ شباب وبنات الاردن,Negative
713,حسبنا الله نعم الوكيل في اناس همهم تجويع الشعب,Negative
714,حسبنا الله نعم الوكيل فيكم في مجلس النواب الحالي الذي لا يمثل الشعب الاردني فهم غير سائلين عن الشعب يبحثون عن مناصب وزاريه رواتب خياليه بينما المواطن الاردني طفح الكيل معه اصبح لا يطيق الحياه,Negative
715,حسبي الله عليكم الله بحاسبكم على كل حد بينفتن بسلبكم الله لا يسامحكم,Negative
716,حسبي الله نعم الوكيل في كل ظالم مفتري الله يعين الشعب,Negative
717,حسيت كله تمثيل وسخافه غباء,Negative
718,حطمت كل احلامي البريئه,Negative
719,"حظ من ينعم بمحبه الصغار قبل الكبار ، لان محبتهم صادقه ومن القلب",Positive
720,حفظ الله ابناء وبنات الامه جميع,Positive
721,حفظ الله وطننا من المنافقين المتاردنين,Negative
722,حفظ سور جديده تسميعها فى الصلاه يساعد على التركيز,Positive
723,حقا مزبوط صدقت,Positive
724,"حقيقه العمل التطوعي ، يساعد في القضاء على اوقات الفراغ ، يمنحك خبرات وتجربه جديده",Positive
725,حقيقى لازم نجمد قلبنا عن اى حاجه غلط,Positive
726,حكي فاضي,Negative
727,حلمي اكون ممثله افلام دعاره ,Negative
728,حلمي ان اكون مثل سوشي,Positive
729,حلو الشخص يكون عنده هدف يشتغل عليه لكن الدراسه شئ ضروري,Positive
730,حلو صديق عمري,Positive
731,حلو كلامك عزيزي,Positive
732,حلو...نفس العرطه سمعناها قبل 4سنين...طيب تصرف وسوبديلك اشي يرفع اقتصاد البلد,Negative
733,حلوه اوى الحمله دي وربنا يارب يكرمك وكل الي بيتبرعو,Positive
734,حلوه قوي يا عمرو لو كل واحد تيقن من هذه القصه لن يوجد حاسد لا ظالم لا متواكل اللهم ارزقنا رزقا حلال طيبا اللهم امين,Positive
735,حلوه وهي ساكته اذا ابتسم كرهت شكلها,Negative
736,حماك الله من النكد,Positive
737,حينما ننجح فى الانتصار على انفسنا,Positive
738,حيوان وكلب الله يموتك,Negative
739,"خبار الموت تهز قلوبنا بعمق وسياتي اليوم الذي تهتز فيه قلوب من حولنا لموتنا ، يارب نسالك حُسن الختام ورضاك عنا",Positive
740,خبر عاجل يمنع لجميع المجانين التقدم الى سوبر ستار,Negative
741,خبل معوق,Negative
742,خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفه,Positive
743,خراي على احسن علوي ومحب لهاجحش خربت سوريه ياكلب,Negative
744,خرى عليك,Negative
745,خساره فيك اسمك :,Negative
746,خسئو وخسئ امثالهم ومن طاوعهم,Negative
747,خفي علينا يا حجه بلا مانسمع صوتك الناعم ويصيبنا صرع,Negative
748,خلتنى اضحك رغم انى مكتئبه جدا,Positive
749,خلق الايثار,Positive
750,خليه يرفع لكن اللي عنده وطنيه انتماء يصف سيارته بالشارع يروح على الشغل مشي,Negative
751,خير الكلام ما قل دل,Positive
752,خير صديق في الزمان كتاب,Positive
753,دار الزمن وصار الوسط الفني كله نفس ذي العاهات ووضحكو هما علينا,Negative
754,دائما تبعث النشاط الحيويه في النفوس مع كل صباح اسعد الله صباحك,Positive
755,دخيل عينك يادكتور كلامك ذهب,Positive
756,دربي زدني ثقتا بك فانه لايخيب من وثق بك,Positive
757,دعاء جميل ماشاء الله,Positive
758,دعواتك لنا يا شيخ سلمان بالتوفيق الفلاح الظفر حسن الخاتمه,Positive
759,دعوه اخاك بظهر الغيب لا ترد,Positive
760,دعوه المؤمن لاخيه بظهر الغيب اسرع من البرق,Positive
761,دلوعه حيوانه?,Negative
762,دمرني النصاني هودعيك يربي بطني,Negative
763,دمك ثقيل,Negative
764,ده عمله نادره الاخلاق ملهاش علاقه بالدين,Positive
765,دي اخلاق السلف الصالح,Positive
766,رائع ولاجمل ?حب ربنا,Positive
767,رائعين يا مصريين,Positive
768,رب فعل صغير يستعظمه غيرك خاصه ان كنت تمثل الاسلام,Positive
769,رب كريم,Positive
770,ربك دايما جنبك لو ناديتوا ها تلاقه,Positive
771,ربك دايما جنبك لو نديته هتلاقيه,Positive
772,"ربما تنام وعشرات الدعوات ترفع لك، من فقير اعنته او جائع اطعمته، او حزين اسعدته اومكروب نفست عنه، فلا تستهن بفعل الخير",Positive
773,ربنا اجعلنا من الصالحين اهدنا الي الريق المستقيم,Positive
774,ربنا اصلح احوالنا,Positive
775,ربنا المستعان ادعولنا ارجوكم,Positive
776,ربنا لا تزغ قلوبنا بعد ان هديتنا,Positive
777,ربنا يبارك فيه يكون قدوه للجميع المسلمين فى انحاء العالم,Positive
778,ربنا يباركلك يا استاذي يعزك,Positive
779,ربنا يتوب علينا من المعاصى,Positive
780,ربنا يثبته,Positive
781,ربنا يحمى الاسلام والمسلمين,Positive
782,ربنا يستر واخلاق المتاسلمين لا ترجعه مره اخرى,Positive
783,ربنا يسهل,Positive
784,ربنا يشفيهم,Positive
785,ربنا يصلح احوالنا يا رب ظاهرا باطن,Positive
786,ربنا يصلح حالنا جميعا,Positive
787,ربنا يعنا علي كل شيء,Positive
788,ربنا يعيننا علي نفسنا,Positive
789,ربنا يقدرنى ويعفو عنى,Positive
790,ربنا يقوي ايمانك,Positive
791,ربنا يقويكى على اخد القرار الصح واحسنى الظن بالله وتوكلى عليه وربنا يقويكى على ضعفك يارب ويعدك عن الغلط ده,Positive
792,ربنا يقوينا ويقدرنا,Positive
793,ربنا يكتر من امثالك يا مصطفى,Positive
794,ربنا يكرمك على سعيك وحُبك للمُساعده,Positive
795,ربنا يكرمك يا دكتور,Positive
796,ربنا يكفينا هذا الشر,Positive
797,ربنا يهدينا يهدي بينا امه محمد الغافلين,Positive
798,ربنا يهديني ويجعلني من الخاشعين والمسلمين اجمعين,Positive
799,ربنا يوفق الجميع علي الخشوع,Positive
800,ربنايحفظك ياشيخ,Positive
801,ربنايقويك اتشجعي وخوذي قرار وخلي الصحبه الصلحه جنبيك,Positive
802,ربى يزيدن ايمان وتقه يارب,Positive
803,ربي ارزقني حلو الحياه و جمال الحظ و سعه الرزق و راحه البال,Positive
804,ربي اشرح لي صدري و احلل عقده من لساني,Positive
805,ربي يكون بالعون ياخي فقد احزنني كلامك,Negative
806,ربي ينعم علينا بنعمه الخشوع,Positive
807,ربي يهديهن,Positive
808,رجعتولنا الفرحه اللي نسيناها,Positive
809,رح اجتهد باني اكون حلوه يوم عرسي مش اكون مثل القرده,Negative
